,Dataset,Scaling technique,Model,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,recall_fold1,recall_fold2,recall_fold3,recall_fold4,recall_fold5,recall_mean,recall_stddev,precision_fold1,precision_fold2,precision_fold3,precision_fold4,precision_fold5,precision_mean,precision_stddev,f1_fold1,f1_fold2,f1_fold3,f1_fold4,f1_fold5,f1_mean,f1_stddev,gmean_fold1,gmean_fold2,gmean_fold3,gmean_fold4,gmean_fold5,gmean_mean,gmean_stddev
1158,259.0,NOR,GP,0.94,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.95534693877551,0.007673469387755106,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.94,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.95534693877551,0.007673469387755106,0.9690721649484536,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9771477663230239,0.00403780068728521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1159,260.0,NOR,GP,0.9672131147540983,0.9836065573770492,0.9836065573770492,0.9833333333333333,0.9833333333333333,0.9802185792349727,0.006503880139304058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160,261.0,NOR,GP,0.9782608695652174,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9608695652173912,0.008695652173913038,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9782608695652174,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9608695652173912,0.008695652173913038,0.989010989010989,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9800244200244201,0.004493284493284521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1161,262.0,NOR,GP,0.9782608695652174,0.9782608695652174,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9652173913043478,0.010649955403405116,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9782608695652174,0.9782608695652174,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9652173913043478,0.010649955403405116,0.989010989010989,0.989010989010989,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9822710622710623,0.005503127138853573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1162,263.0,NOR,GP,0.9615384615384616,0.974025974025974,0.974025974025974,0.961038961038961,0.961038961038961,0.9663336663336664,0.006283390686719831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163,264.0,NOR,GP,0.9801980198019802,0.9702970297029703,0.9504950495049505,0.92,0.98,0.9601980198019803,0.02282164257597815,1.0,0.9302325581395349,0.9534883720930233,0.8809523809523809,1.0,0.9529346622369879,0.04500540630076651,0.9555555555555556,1.0,0.9318181818181818,0.925,0.9555555555555556,0.9535858585858585,0.026279326469563654,0.9772727272727273,0.963855421686747,0.942528735632184,0.9024390243902439,0.9772727272727273,0.9526737272509258,0.028148527922598705,0.982607368881035,0.9644856443408242,0.9508785453564752,0.9139944630517882,0.9822994862575031,0.9588531015775251,0.025383517112385772
1164,265.0,NOR,GP,0.9615384615384616,0.9423076923076923,0.9615384615384616,0.941747572815534,0.941747572815534,0.9497759522031366,0.009606226197375117,0.9814814814814815,0.9074074074074074,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9555555555555555,0.025119740678241718,0.9464285714285714,0.98,0.9629629629629629,0.9285714285714286,0.9285714285714286,0.9493068783068784,0.019983787275445846,0.9636363636363636,0.9423076923076924,0.9629629629629629,0.9454545454545454,0.9454545454545454,0.9519632219632219,0.009329646631042621,0.960516836183829,0.9430054396763887,0.9614803401237304,0.9404008408634047,0.9404008408634047,0.9491608595421515,0.009716921894448234
1165,266.0,NOR,GP,0.9625,0.9625,0.9625,0.9625,0.95,0.96,0.005000000000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1166,267.0,NOR,GP,0.9540229885057471,0.9540229885057471,0.9651162790697675,0.9651162790697675,0.9651162790697675,0.9606789628441593,0.005434580290056287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1167,268.0,NOR,GP,0.9345794392523364,0.9252336448598131,0.897196261682243,0.9622641509433962,0.9339622641509434,0.9306471521777464,0.02085356370696579,0.9056603773584906,0.9433962264150944,0.9056603773584906,0.9622641509433962,0.9245283018867925,0.9283018867924528,0.022003592056019997,0.96,0.9090909090909091,0.8888888888888888,0.9622641509433962,0.9423076923076923,0.9325103282461773,0.028942216659945248,0.9320388349514563,0.9259259259259259,0.897196261682243,0.9622641509433962,0.9333333333333333,0.930151701367271,0.02073070985675797,0.9338722612966333,0.9252268500045014,0.8972354465472708,0.9622641509433962,0.9339146166614779,0.9305026650906558,0.020815040860509663
1168,269.0,NOR,GP,0.9652173913043478,0.8956521739130435,0.9130434782608695,0.9043478260869565,0.9565217391304348,0.9269565217391305,0.028364359009217542,0.96875,0.9375,0.953125,0.875,0.9384615384615385,0.9345673076923078,0.03189004314940646,0.96875,0.8823529411764706,0.8970588235294118,0.9491525423728814,0.9838709677419355,0.9362370549641398,0.03982793641018443,0.96875,0.9090909090909091,0.9242424242424244,0.9105691056910569,0.9606299212598426,0.9346564720568467,0.025216027963172002,0.9647589356526161,0.8890675882465788,0.9068097493789022,0.9074852129730301,0.959005895546168,0.9254254763594589,0.03054524493972612
