Unnamed: 0,Dataset,Scaling technique,Model,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,recall_fold1,recall_fold2,recall_fold3,recall_fold4,recall_fold5,recall_mean,recall_stddev,precision_fold1,precision_fold2,precision_fold3,precision_fold4,precision_fold5,precision_mean,precision_stddev,f1_fold1,f1_fold2,f1_fold3,f1_fold4,f1_fold5,f1_mean,f1_stddev,gmean_fold1,gmean_fold2,gmean_fold3,gmean_fold4,gmean_fold5,gmean_mean,gmean_stddev
451,152.0,NOR,SVM_RBF,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8813559322033898,0.8829378531073446,0.0007909604519773,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8813559322033898,0.8829378531073446,0.0007909604519773,0.9380530973451328,0.9380530973451328,0.9380530973451328,0.9380530973451328,0.936936936936937,0.9378298652634935,0.0004464641632782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,153.0,NOR,SVM_RBF,0.8863636363636364,0.875,0.8850574712643678,0.8850574712643678,0.8850574712643678,0.8833072100313479,0.0041842973981558,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8863636363636364,0.875,0.8850574712643678,0.8850574712643678,0.8850574712643678,0.8833072100313479,0.0041842973981558,0.9397590361445785,0.9333333333333332,0.9390243902439024,0.9390243902439024,0.9390243902439024,0.9380331080419236,0.0023670501194067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,154.0,NOR,SVM_RBF,0.9019607843137256,0.9019607843137256,0.9019607843137256,0.900990099009901,0.900990099009901,0.9015725101921956,0.0004755367390376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,155.0,NOR,SVM_RBF,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8360655737704918,0.8252776308831307,0.0053939714436805,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8360655737704918,0.8252776308831307,0.0053939714436805,0.9026548672566372,0.9026548672566372,0.9026548672566372,0.9026548672566372,0.9107142857142856,0.9042667509481668,0.0032237673830594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,156.0,NOR,SVM_RBF,0.8524590163934426,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.85,0.8604918032786886,0.0076025050445633,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8524590163934426,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.85,0.8604918032786886,0.0076025050445633,0.9203539823008848,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9189189189189187,0.924997437386818,0.004400688602087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,157.0,NOR,SVM_RBF,0.8514851485148515,0.8514851485148515,0.86,0.85,0.85,0.8525940594059407,0.0037620635617859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,158.0,NOR,SVM_RBF,0.8125,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7958333333333332,0.0083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8125,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7958333333333332,0.0083333333333333,0.896551724137931,0.8837209302325582,0.8837209302325582,0.8837209302325582,0.8837209302325582,0.8862870890136326,0.0051323175621491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,159.0,NOR,SVM_RBF,0.8518518518518519,0.8395061728395061,0.8395061728395061,0.85,0.85,0.8461728395061728,0.0054851505904995,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8518518518518519,0.8395061728395061,0.8395061728395061,0.85,0.85,0.8461728395061728,0.0054851505904995,0.92,0.912751677852349,0.912751677852349,0.9189189189189187,0.9189189189189187,0.9166682387085072,0.0032221314064621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,160.0,NOR,SVM_RBF,0.8571428571428571,0.8674698795180723,0.8554216867469879,0.8554216867469879,0.8554216867469879,0.8581755593803786,0.0046947269180674,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,0.8674698795180723,0.8554216867469879,0.8554216867469879,0.8554216867469879,0.8581755593803786,0.0046947269180674,0.923076923076923,0.929032258064516,0.922077922077922,0.922077922077922,0.922077922077922,0.9236685894750412,0.0027096006410227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,161.0,NOR,SVM_RBF,0.5272727272727272,0.5818181818181818,0.5545454545454546,0.5727272727272728,0.5871559633027523,0.5647039199332777,0.0217515746759337,0.6379310344827587,0.9298245614035088,0.9649122807017544,0.9473684210526316,0.9473684210526316,0.8854809437386569,0.1242712927337046,0.5441176470588235,0.5578947368421052,0.5392156862745098,0.5510204081632653,0.5625,0.5509496956677407,0.0085558400168947,0.5873015873015872,0.6973684210526315,0.6918238993710691,0.6967741935483871,0.7058823529411765,0.6758300908429703,0.044494474744815,0.507568709333978,0.4392976851069795,0.330507719323277,0.4010908660394278,0.4268327949183541,0.4210595549444033,0.0573553431787524
