Dataset,Scaling technique,Model,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,f1_fold1,f1_fold2,f1_fold3,f1_fold4,f1_fold5,f1_mean,f1_stddev,gmean_fold1,gmean_fold2,gmean_fold3,gmean_fold4,gmean_fold5,gmean_mean,gmean_stddev
7.0,MMS,GKELM,0.6190476190476191,0.6349206349206349,0.6349206349206349,0.6290322580645161,0.6290322580645161,0.6293906810035842,0.005803389445502378,0.7647058823529412,0.7766990291262136,0.7766990291262136,0.7722772277227723,0.7722772277227723,0.7725316792101825,0.004384203421717252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,SS,GKELM,0.6349206349206349,0.6290322580645161,0.6774193548387096,0.6612903225806451,0.6290322580645161,0.6463389656938043,0.01959059058697957,0.7722772277227723,0.7526881720430109,0.803921568627451,0.7961165048543689,0.7526881720430109,0.7755383290581228,0.021372710360181516,0.21295266424560724,0.408248290463863,0.2209287754221342,0.0,0.408248290463863,0.2500756041190935,0.15152732788148257
8.0,MMS,GKELM,0.6825396825396826,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6784434203789041,0.0020481310803891705,0.8113207547169812,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8084179970972423,0.0014513788098693857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,SS,GKELM,0.6557377049180327,0.639344262295082,0.5245901639344263,0.6229508196721312,0.6,0.6085245901639345,0.04583601866833125,0.7878787878787878,0.7755102040816327,0.6881720430107527,0.7676767676767676,0.7391304347826088,0.75167364748611,0.03556649949852162,0.2180847899550909,0.21527067476698764,0.0,0.0,0.29154759474226505,0.1449806118928687,0.12149530846928797
9.0,MMS,GKELM,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6557377049180327,0.6666666666666666,0.6677595628415299,0.006372625021688861,0.8039215686274509,0.8039215686274509,0.8039215686274509,0.7920792079207921,0.8,0.800768782760629,0.004602606087778145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,SS,GKELM,0.6229508196721312,0.7049180327868853,0.6666666666666666,0.6666666666666666,0.6166666666666667,0.6555737704918032,0.03243140626239062,0.7578947368421052,0.8163265306122449,0.7916666666666667,0.7916666666666667,0.7415730337078652,0.7798255268991098,0.026671937469657382,0.29277002188455997,0.3779644730092272,0.3082207001484488,0.3082207001484488,0.406201920231798,0.33867556308449653,0.044868125475496505
10.0,MMS,GKELM,0.6557377049180327,0.6557377049180327,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6622950819672131,0.005354075940509685,0.7920792079207921,0.7920792079207921,0.8,0.8,0.8,0.7968316831683169,0.003880379790547612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,SS,GKELM,0.5737704918032787,0.639344262295082,0.6557377049180327,0.5737704918032787,0.6166666666666667,0.6118579234972678,0.033482422119673935,0.7173913043478259,0.7555555555555555,0.7878787878787878,0.723404255319149,0.7356321839080459,0.7439724174018728,0.02553860926255848,0.2773500981126146,0.44512380090846426,0.21547290184283366,0.2011869540407391,0.4419956960878639,0.3162258901985031,0.10707862920681568
11.0,MMS,GKELM,0.639344262295082,0.639344262295082,0.6557377049180327,0.6557377049180327,0.65,0.6480327868852458,0.007397058473887486,0.78,0.78,0.7920792079207921,0.7920792079207921,0.787878787878788,0.7864074407440744,0.005451849997611149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,SS,GKELM,0.47619047619047616,0.544,0.536,0.56,0.512,0.5256380952380952,0.02917647609581418,0.6162790697674418,0.6666666666666667,0.6627906976744186,0.6857142857142858,0.6390532544378699,0.6541007948521366,0.024040547876087677,0.30890420958541254,0.4053494493651483,0.3864855355409694,0.3965257928590721,0.3752933125204007,0.37451165997420066,0.034304266569923796
12.0,MMS,GKELM,0.5555555555555556,0.552,0.528,0.552,0.56,0.5495111111111112,0.011150507932847453,0.7052631578947368,0.711340206185567,0.6910994764397905,0.711340206185567,0.7179487179487181,0.7073983529308759,0.009084041489191409,0.22737091032979026,0.0,0.0,0.0,0.0,0.04547418206595805,0.09094836413191612
13.0,SS,GKELM,0.5,0.5147058823529411,0.47058823529411764,0.4626865671641791,0.582089552238806,0.5060140474100088,0.04250048918401891,0.5641025641025641,0.5925925925925926,0.5714285714285715,0.4857142857142857,0.631578947368421,0.5690833922412869,0.047831147486308394,0.4797558228104045,0.4797558228104045,0.40913714039581417,0.4618026079890841,0.5679618342470648,0.4796826456505544,0.05116559372757024
13.0,MMS,GKELM,0.5441176470588235,0.4852941176470588,0.5441176470588235,0.4626865671641791,0.5970149253731343,0.5266461808604038,0.047671982930676905,0.6804123711340206,0.6236559139784947,0.6736842105263158,0.5909090909090908,0.7157894736842105,0.6568902120464265,0.04418705758289105,0.3392385956229688,0.3180147660973813,0.3734894015132426,0.34130258598072855,0.42754613660367835,0.35991829716359997,0.03817800470185191
14.0,SS,GKELM,0.4897959183673469,0.5306122448979592,0.5578231292517006,0.47619047619047616,0.4421768707482993,0.4993197278911564,0.04072552257713133,0.46808510638297873,0.5306122448979591,0.5390070921985816,0.45390070921985815,0.4225352112676056,0.4828280727933967,0.04500841232016342,0.4881035693472011,0.5306245228993005,0.5563407179476452,0.47444895841693024,0.44087691552907055,0.4980789368280295,0.04094778477213549
14.0,MMS,GKELM,0.48299319727891155,0.5306122448979592,0.5578231292517006,0.5102040816326531,0.4421768707482993,0.5047619047619047,0.03975956243864614,0.46478873239436624,0.5174825174825174,0.5038167938931297,0.47826086956521735,0.40579710144927533,0.4740292029569012,0.03881856280619926,0.4818051949023339,0.5299263324351973,0.5471138639766845,0.50652901213384,0.4379278729628981,0.5006604552821907,0.03831383153074775
15.0,SS,GKELM,0.5106382978723404,0.5,0.4574468085106383,0.5106382978723404,0.5080213903743316,0.4973489589259302,0.020328912803329945,0.5257731958762887,0.5204081632653061,0.4795918367346939,0.5306122448979593,0.5,0.5112770881548496,0.018965705011075723,0.5096399815746163,0.49818593506247216,0.4554890653185735,0.5088909565509193,0.5077752805421184,0.49599624380973995,0.020672673558659392
15.0,MMS,GKELM,0.5212765957446809,0.4734042553191489,0.4734042553191489,0.5053191489361702,0.5026737967914439,0.4952156104221185,0.018912172869678424,0.5408163265306123,0.5025125628140702,0.5074626865671641,0.5326633165829145,0.5130890052356021,0.5193087795460727,0.014846189036969035,0.519536827535097,0.46977451416637483,0.4683533267840396,0.5019486645063023,0.502225657293811,0.49236779805712494,0.02007126234652953
