"ds_name","overlapping.F2_partial.0","overlapping.F2_partial.1","overlapping.F3_partial.0","overlapping.F3_partial.1","overlapping.F4_partial.0","overlapping.F4_partial.1","neighborhood.N1_partial.0","neighborhood.N1_partial.1","neighborhood.N2_partial.0","neighborhood.N2_partial.1","neighborhood.N3_partial.0","neighborhood.N3_partial.1","neighborhood.N4_partial.0","neighborhood.N4_partial.1","neighborhood.T1_partial.0","neighborhood.T1_partial.1","linearity.class.L1_partial.0","linearity.class.L1_partial.1","linearity.class.L2_partial.0","linearity.class.L2_partial.1","linearity.class.L3_partial.0","linearity.class.L3_partial.1"
"D15","0.387062568399328","0.0417533644663451","0.982869379014989","0.283898305084746","0.982869379014989","0.283898305084746","0.426124197002141","0.508474576271186","0.471017111316307","0.495674168034373","0.141327623126338","0.447033898305085","0.0106496272630458","0.0883919062832801","0.995717344753747","0.997881355932203","0.154216451354505","0.209781063873877","0.430406852248394","0.470338983050847","0.397231096911608","0.446219382321619"
"D16","0.285531974909828","0.0278133563349592","0.957446808510638","0.270833333333333","0.957446808510638","0.270833333333333","0.452127659574468","0.536458333333333","0.470308671693879","0.496837288054565","0.164893617021277","0.453125","0.0105263157894737","0.0657894736842105","1","1","0.139191859616182","0.219419700984912","0.303191489361702","0.432291666666667","0.294736842105263","0.45"
"D17","0.448082961731935","0.0495533615565222","0.975384615384615","0.290909090909091","0.975384615384615","0.290909090909091","0.446153846153846","0.563636363636364","0.473510412403219","0.498310283418358","0.141538461538462","0.487878787878788","0.00610687022900763","0.0748091603053435","1","1","0.150273072096847","0.201784454935081","0.412307692307692","0.445454545454545","0.398473282442748","0.445801526717557"
"D18","0.206938352138966","0.0401234242857536","0.934640522875817","0.276315789473684","0.934640522875817","0.276315789473684","0.535947712418301","0.611842105263158","0.475089074518954","0.499928856818099","0.196078431372549","0.486842105263158","0","0.0295081967213115","0.993464052287582","1","0.164785858963964","0.212452675430039","0.359477124183007","0.421052631578947","0.354098360655738","0.452459016393443"
"D19","0.30526911081369","0.0297735877485629","0.974747474747475","0.271356783919598","0.974747474747475","0.271356783919598","0.464646464646465","0.587939698492462","0.469128051425363","0.499365152096309","0.156565656565657","0.50251256281407","0.0100755667506297","0.0629722921914358","0.98989898989899","1","0.0921896243149783","0.270133853351011","0.277777777777778","0.487437185929648","0.226700251889169","0.498740554156171"
"D20","0.14706435429102","0.13382063321261","0.835443037974684","0.813793103448276","0.835443037974684","0.813793103448276","0.689873417721519","0.668965517241379","0.501271487819336","0.499075077463932","0.531645569620253","0.510344827586207","0.0495049504950495","0.0264026402640264","1","1","0.148701165558426","0.204600193447316","0.253164556962025","0.386206896551724","0.201320132013201","0.336633663366337"
"D21","0.153587263713287","0.253953443956789","0.753012048192771","0.743589743589744","0.753012048192771","0.743589743589744","0.650602409638554","0.647435897435897","0.500097944301267","0.499739340097334","0.518072289156627","0.493589743589744","0.0279503105590062","0.0496894409937888","1","1","0.172917048639431","0.198339561539957","0.319277108433735","0.314102564102564","0.291925465838509","0.251552795031056"
"D22","0.440995969429477","0.197639230600456","0.96969696969697","0.966292134831461","0.96969696969697","0.966292134831461","0.793939393939394","0.531835205992509","0.507257132917858","0.488646857773112","0.6","0.389513108614232","0.0439814814814815","0.0509259259259259","1","1","0.499947978309132","0","1","0","1","0"
"D23","0.280494457464342","0.246043875589772","0.802919708029197","0.964912280701754","0.802919708029197","0.964912280701754","0.686131386861314","0.590643274853801","0.50203074816428","0.492446640013124","0.532846715328467","0.421052631578947","0.0454545454545455","0.0227272727272727","1","1","0.251290357991543","0.10889368553271","0.364963503649635","0.239766081871345","0.311688311688312","0.152597402597403"
"D24","0.432928223176645","0.540560322432028","0.722222222222222","0.925233644859813","0.722222222222222","0.925233644859813","0.53968253968254","0.682242990654206","0.467196039923501","0.501255678390422","0.349206349206349","0.588785046728972","0.0815450643776824","0.171673819742489","0.69047619047619","0.813084112149533","0.0870931552951912","0.165836104176471","0.158730158730159","0.289719626168224","0.133047210300429","0.223175965665236"
